Player,Span,Mat,Inns,Not Out,Runs,Highest runs,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
AJ Finch,2017-2022,16,16,2,469,64,33.5,361,129.91,0,3,1,42,18
DA Warner,2019-2022,8,8,4,423,100*,105.75,286,147.9,1,4,0,51,6
GJ Maxwell,2019-2022,12,10,1,263,62,29.22,177,148.58,0,1,0,21,10
MP Stoinis,2021-2022,10,9,4,208,59*,41.6,112,185.71,0,1,0,18,12
SPD Smith,2019-2022,9,7,3,159,53*,39.75,125,127.2,0,1,0,14,2
JP Inglis,2022-2022,6,6,1,155,48,31,109,142.2,0,0,1,16,2
M Klinger,2017-2017,3,3,0,143,62,47.66,112,127.67,0,1,0,12,2
MS Wade,2021-2022,10,5,4,99,43*,99,70,141.42,0,0,0,7,3
BR McDermott,2019-2022,6,6,0,88,53,14.66,87,101.14,0,1,1,6,3
MC Henriques,2017-2017,3,3,2,75,56*,75,50,150,0,1,0,2,3
TM Head,2017-2017,3,3,0,65,31,21.66,45,144.44,0,0,0,1,3
BR Dunk,2017-2017,2,2,0,60,32,30,35,171.42,0,0,0,5,5
AJ Turner,2017-2019,6,5,2,49,22*,16.33,37,132.43,0,0,0,1,2
AC Agar,2019-2022,10,4,1,43,26,14.33,47,91.48,0,0,1,4,1
MR Marsh,2021-2022,4,2,0,28,17,14,24,116.66,0,0,0,3,1
DR Sams,2022-2022,3,1,0,18,18,18,15,120,0,0,0,2,0
JP Faulkner,2017-2017,3,3,1,17,14*,8.5,11,154.54,0,0,0,2,0
PJ Cummins,2017-2022,10,4,2,11,6*,5.5,10,110,0,0,0,0,0
JA Richardson,2017-2022,6,2,1,9,9*,9,21,42.85,0,0,1,0,0
TD Paine,2017-2017,3,3,1,8,7,4,6,133.33,0,0,1,1,0
JR Hazlewood,2021-2022,8,1,1,2,2*,-,2,100,0,0,0,0,0
A Zampa,2017-2022,10,1,1,2,2*,-,6,33.33,0,0,0,0,0
MA Starc,2019-2022,7,1,0,1,1,1,3,33.33,0,0,0,0,0
AJ Tye,2017-2017,2,1,0,0,0,0,2,0,0,0,1,0,0
