Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 WKts,5 Wkts
AJ Tye,2018-2018,6,6,23.5,0,200,10,Mar-24,20,8.39,14.3,0,0
B Stanlake,2018-2019,6,6,24,0,139,9,04-Aug,15.44,5.79,16,1,0
KW Richardson,2019-2019,3,3,11,0,85,6,Mar-18,14.16,7.72,11,0,0
MA Starc,2019-2021,4,4,15,0,114,6,Feb-22,19,7.6,15,0,0
AC Agar,2018-2019,7,7,20,0,160,4,Feb-23,40,8,30,0,0
NT Ellis,2022-2022,1,1,4,0,28,4,Apr-28,7,7,6,1,0
JA Richardson,2018-2018,3,3,12,0,94,4,Feb-43,23.5,7.83,18,0,0
A Zampa,2018-2022,7,7,27,0,190,4,Jan-22,47.5,7.03,40.5,0,0
SA Abbott,2019-2022,2,2,8,0,42,3,Feb-14,14,5.25,16,0,0
NM Coulter-Nile,2018-2018,3,3,10,0,89,3,Mar-18,29.66,8.9,20,0,0
GJ Maxwell,2018-2021,7,5,11,0,93,3,Feb-35,31,8.45,22,0,0
PJ Cummins,2019-2021,3,3,11,0,64,2,Jan-19,32,5.81,33,0,0
C Green,2022-2022,1,1,3,0,16,2,Feb-16,8,5.33,9,0,0
MR Marsh,2018-2021,3,3,3,0,22,2,02-Jun,11,7.33,9,0,0
DJM Short,2018-2018,6,3,9,0,56,2,Jan-13,28,6.22,27,0,0
MP Stoinis,2018-2022,5,3,8.2,0,77,2,Jan-17,38.5,9.24,25,0,0
NM Lyon,2018-2018,1,1,4,0,33,1,Jan-33,33,8.25,24,0,0
BJ Dwarshuis,2022-2022,1,1,3,0,42,0,-,-,14,-,0,0
JR Hazlewood,2021-2021,1,1,4,0,49,0,-,-,12.25,-,0,0
TM Head,2018-2022,4,1,2,0,17,0,-,-,8.5,-,0,0
JD Wildermuth,2018-2018,1,1,1,0,16,0,-,-,16,-,0,0
