Player,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
JC Buttler,4,4,0,129,67,32.25,97,132.98,0,1,0,9,6
DJ Malan,4,4,1,90,53,30,87,103.44,0,1,0,10,2
PD Salt,3,3,0,63,38,21,55,114.54,0,0,1,7,2
JJ Roy,1,1,0,61,61,61,38,160.52,0,1,0,5,3
BM Duckett,3,3,0,59,28,19.66,52,113.46,0,0,0,7,0
MM Ali,4,3,1,32,15,16,34,94.11,0,0,0,1,2
SM Curran,3,3,0,22,12,7.33,33,66.66,0,0,0,1,0
CR Woakes,4,3,1,14,13*,7,14,100,0,0,1,2,0
Rehan Ahmed,2,1,0,11,11,11,11,100,0,0,0,2,0
CJ Jordan,4,3,2,10,5*,10,17,58.82,0,0,0,1,0
JM Bairstow,1,1,1,8,8*,-,4,200,0,0,0,1,0
AU Rashid,4,1,1,1,1*,-,2,50,0,0,0,0,0
JC Archer,3,1,0,0,0,0,1,0,0,0,1,0,0
