Player,Span,Mat,Inns,Not OUt,Runs,Highest score,Avg,Balls Faced,Strike Rate,100s,50s,0's,4's,6's
RG Sharma,2007-2024,18,17,1,429,106,26.81,330,130,1,2,3,51,16
V Kohli,2011-2024,14,13,3,394,76,39.4,296,133.1,0,3,0,32,12
SA Yadav,2022-2024,7,7,1,346,100,57.66,197,175.63,1,4,0,28,23
SK Raina,2006-2018,12,11,1,339,101,33.9,229,148.03,1,0,0,34,13
S Dhawan,2015-2019,7,7,0,233,72,33.28,165,141.21,0,1,0,26,7
KD Karthik,2006-2022,13,11,4,221,55,31.57,153,144.44,0,1,1,24,11
Ishan Kishan,2022-2022,5,5,0,206,76,41.2,137,150.36,0,2,0,21,11
MS Dhoni,2006-2018,13,12,6,204,52*,34,148,137.83,0,1,1,17,6
HH Pandya,2018-2024,12,9,4,172,46,34.4,123,139.83,0,0,0,14,7
MK Pandey,2018-2018,3,3,2,121,79*,121,85,142.35,0,1,0,6,5
KL Rahul,2022-2022,3,3,1,117,57,58.5,98,119.38,0,2,0,7,9
SS Iyer,2019-2022,8,8,2,116,40,19.33,102,113.72,0,0,0,6,7
Yuvraj Singh,2009-2014,5,5,0,113,37,22.6,100,113,0,0,0,8,5
RR Pant,2019-2024,11,9,1,108,29,13.5,96,112.5,0,0,1,8,5
G Gambhir,2007-2012,4,4,1,97,49*,32.33,78,124.35,0,0,0,14,1
RD Gaikwad,2022-2022,5,5,0,96,57,19.2,73,131.5,0,1,0,9,5
AR Patel,2015-2024,12,8,4,91,47,22.75,72,126.38,0,0,0,5,4
RK Singh,2023-2023,2,2,1,82,68*,82,49,167.34,0,1,0,9,3
V Sehwag,2006-2012,3,3,0,62,34,20.66,54,114.81,0,0,0,7,2
YBK Jaiswal,2023-2023,2,2,0,60,60,30,44,136.36,0,1,1,6,3
RA Jadeja,2009-2024,8,5,1,51,19,12.75,41,124.39,0,0,0,3,2
,,,,,,,,,,,,,,
RV Uthappa,2007-2012,2,2,1,33,18*,33,35,94.28,0,0,0,2,1
AM Rahane,2014-2014,1,1,0,32,32,32,30,106.66,0,0,0,2,1
DL Chahar,2019-2022,5,2,1,31,31,31,17,182.35,0,0,0,2,3
HV Patel,2022-2022,8,3,2,30,17,30,22,136.36,0,0,0,4,1
NT Tilak Varma,2023-2023,2,2,0,29,29,14.5,21,138.09,0,0,1,4,1
S Dube,2024-2024,1,1,0,27,27,27,16,168.75,0,0,0,3,1
R Ashwin,2011-2022,10,3,0,20,11,6.66,30,66.66,0,0,0,1,0
UT Yadav,2022-2022,1,1,1,20,20*,-,17,117.64,0,0,0,2,0
YK Pathan,2009-2012,4,3,0,17,11,5.66,17,100,0,0,1,0,1
Harbhajan Singh,2006-2015,5,3,1,14,14,7,16,87.5,0,0,1,1,1
M Vijay,2010-2011,2,2,0,14,14,7,13,107.69,0,0,1,3,0
SR Tendulkar,2006-2006,1,1,0,10,10,10,12,83.33,0,0,0,2,0
Shubman Gill,2023-2023,2,2,0,8,8,4,8,100,0,0,1,2,0
B Kumar,2014-2022,12,3,2,7,4*,7,9,77.77,0,0,1,0,0
Mohammed Siraj,2022-2023,3,2,1,7,5,7,8,87.5,0,0,0,1,0
JM Sharma,2023-2023,2,2,0,5,4,2.5,7,71.42,0,0,0,1,0
Z Khan,2006-2012,3,1,0,4,4,4,3,133.33,0,0,0,0,0
KH Pandya,2019-2019,2,1,0,4,4,4,7,57.14,0,0,0,0,0
Washington Sundar,2019-2019,2,1,0,4,4,4,1,400,0,0,0,1,0
Arshdeep Singh,2022-2024,6,3,2,2,2*,2,2,100,0,0,1,0,0
RP Singh,2007-2009,2,1,1,2,2*,-,2,100,0,0,0,0,0
DJ Hooda,2022-2022,1,1,0,0,0,0,3,0,0,0,1,0,0
Mohammed Shami,2022-2022,1,1,0,0,0,0,2,0,0,0,1,0,0
IK Pathan,2006-2012,4,1,1,0,0*,-,1,0,0,0,0,0,0
AT Rayudu,2015-2015,2,2,0,0,0,0,3,0,0,0,2,0,0
NA Saini,2019-2019,2,1,1,0,0*,-,1,0,0,0,0,0,0
MM Sharma,2014-2015,3,1,1,0,0*,-,4,0,0,0,0,0,0
