Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,Strike Rate,4 Wkts,5 Wkts
AR Patel,2022-2024,9,9,33,0,208,15,Mar-16,13.86,6.3,13.2,0,0
Ravi Bishnoi,2023-2023,5,5,20,0,164,9,Mar-32,18.22,8.2,13.3,0,0
Arshdeep Singh,2023-2024,5,5,20,0,208,7,Mar-37,29.71,10.4,17.1,0,0
YS Chahal,2020-2022,6,6,20.2,0,193,6,Mar-25,32.16,9.49,20.3,0,0
T Natarajan,2020-2020,3,3,12,0,83,6,Mar-30,13.83,6.91,12,0,0
Mukesh Kumar,2023-2023,4,4,16,0,146,4,Mar-32,36.5,9.12,24,0,0
M Prasidh Krishna,2023-2023,3,3,12,0,159,4,Mar-41,39.75,13.25,18,0,0
DL Chahar,2020-2023,4,4,16,0,155,3,Feb-44,51.66,9.68,32,0,0
Avesh Khan,2023-2023,3,3,12,0,109,2,Jan-33,54.5,9.08,36,0,0
JJ Bumrah,2022-2024,3,3,10,0,102,2,Jan-23,51,10.2,30,0,0
Kuldeep Yadav,2024-2024,1,1,4,0,24,2,Feb-24,12,6,12,0,0
SN Thakur,2020-2020,2,2,8,0,82,2,Jan-39,41,10.25,24,0,0
Washington Sundar,2020-2020,3,3,12,0,85,2,Feb-34,42.5,7.08,36,0,0
UT Yadav,2022-2022,1,1,2,0,27,2,Feb-27,13.5,13.5,6,0,0
B Kumar,2022-2022,2,2,7,0,91,1,Jan-39,91,13,42,0,0
HV Patel,2022-2022,3,3,8,0,99,1,Jan-18,99,12.37,48,0,0
RA Jadeja,2020-2024,2,1,1,0,17,0,-,28.5,17,-,0,0
Mohammed Shami,2020-2020,1,1,4,0,46,0,-,32.09,11.5,-,0,0
HH Pandya,2020-2024,7,4,10,0,102,0,-,35.83,10.2,-,0,0
