Player,Span,Mat,Inns,Not Out,Runs,Highest score,Avg,Balls faced,Strike rate,100s,50s,0's,4's,6's
MJ Guptill,2018-2021,8,8,0,284,65,35.5,176,161.36,0,3,0,24,17
GD Phillips,2021-2023,6,6,0,238,69,39.66,154,154.54,0,2,0,18,11
TL Seifert,2018-2023,11,10,1,226,48,25.11,165,136.96,0,0,0,17,11
C Munro,2018-2019,7,7,0,178,57,25.42,109,163.3,0,1,0,11,14
DJ Mitchell,2019-2023,9,9,2,141,72*,20.14,107,131.77,0,1,1,6,7
FH Allen,2022-2023,5,5,0,139,83,27.8,91,152.74,0,1,0,7,10
MS Chapman,2018-2023,6,6,3,131,40*,43.66,92,142.39,0,0,0,9,7
KS Williamson,2018-2022,4,4,0,125,72,31.25,110,113.63,0,1,0,7,4
LRPL Taylor,2018-2019,7,7,1,124,44,20.66,103,120.38,0,0,0,8,4
C de Grandhomme,2018-2019,7,7,1,123,55,20.5,75,164,0,1,1,9,8
JDS Neesham,2019-2022,5,5,1,96,42,24,52,184.61,0,0,0,6,8
DP Conway,2021-2023,5,5,0,63,46,12.6,67,94.02,0,0,0,6,1
MJ Santner,2018-2023,13,9,4,59,16*,11.8,47,125.53,0,0,1,5,1
TG Southee,2018-2023,13,5,3,59,39,29.5,26,226.92,0,0,0,3,5
IS Sodhi,2018-2023,13,4,2,31,16,15.5,25,124,0,0,0,1,2
R Ravindra,2023-2023,1,1,1,17,17*,-,9,188.88,0,0,0,2,0
AF Milne,2021-2023,3,2,0,12,10,6,12,100,0,0,0,0,1
TA Boult,2018-2022,6,1,0,8,8,8,8,100,0,0,0,1,0
BM Tickner,2019-2019,2,1,1,5,5*,-,6,83.33,0,0,0,0,0
LH Ferguson,2019-2023,6,2,1,2,2*,2,2,100,0,0,1,0,0
