Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Avg,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
Mohammad Rizwan,2019-2022,7,7,3,323,104*,80.75,219,147.48,1,2,1,29,13
Babar Azam,2019-2022,7,7,0,233,122,33.28,153,152.28,1,0,1,31,5
Fakhar Zaman,2019-2021,4,4,1,112,60,37.33,72,155.55,0,1,0,13,6
Mohammad Nawaz (3),2021-2022,6,5,3,74,28,37,58,127.58,0,0,1,7,4
Shadab Khan,2019-2022,2,2,1,74,52,74,30,246.66,0,1,0,3,7
Faheem Ashraf,2019-2021,6,5,0,55,30,11,44,125,0,0,0,4,2
Iftikhar Ahmed,2021-2022,2,2,0,55,51,27.5,43,127.9,0,1,0,3,2
Haider Ali,2021-2021,5,4,0,53,21,13.25,43,123.25,0,0,0,4,4
Asif Ali,2019-2021,4,3,0,37,25,12.33,37,100,0,0,0,0,2
Hasan Ali,2021-2021,4,3,3,31,20*,-,15,206.66,0,0,0,2,2
Mohammad Haris,2022-2022,1,1,0,28,28,28,11,254.54,0,0,0,2,3
Hussain Talat,2019-2021,3,3,0,23,15,7.66,21,109.52,0,0,0,2,0
Mohammad Hafeez,2021-2021,3,2,0,23,13,11.5,23,100,0,0,0,2,0
Imad Wasim,2019-2019,1,1,0,19,19,19,13,146.15,0,0,0,3,0
Shoaib Malik,2019-2019,1,1,0,18,18,18,16,112.5,0,0,0,2,0
Khushdil Shah,2021-2021,1,1,0,12,12,12,12,100,0,0,0,0,1
Naseem Shah,2022-2022,1,1,1,5,5*,-,3,166.66,0,0,0,0,0
Haris Rauf,2021-2022,5,1,0,3,3,3,2,150,0,0,0,0,0
Shan Masood,2022-2022,1,1,0,2,2,2,6,33.33,0,0,0,0,0
Mohammad Amir,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
Mohammad Wasim (1),2022-2022,1,1,0,0,0,0,1,0,0,0,1,0,0
Shaheen Shah Afridi,2019-2022,7,1,1,0,0*,-,2,0,0,0,0,0,0
