Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 wkts,5 Wkts
Ihsanullah,2023-2023,3,3,10.5,0,69,6,Mar-29,11.5,6.36,10.8,0,0
Shadab Khan,2021-2023,5,5,19,0,101,5,Mar-13,20.2,5.31,22.8,0,0
Imad Wasim,2021-2023,4,4,12,1,66,4,Feb-25,16.5,5.5,18,0,0
Haris Rauf,2021-2022,2,2,8,0,63,3,Feb-26,21,7.87,16,0,0
Arafat Minhas,2023-2023,1,1,3,0,11,2,02-Nov,5.5,3.66,9,0,0
Naseem Shah,2022-2023,3,3,12,0,85,2,Jan-19,42.5,7.08,36,0,0
Usman Qadir,2023-2023,1,1,4,0,20,2,Feb-20,10,5,12,0,0
Zaman Khan,2023-2023,3,3,10.3,0,61,2,Jan-20,30.5,5.8,31.5,0,0
Hasan Ali,2021-2021,1,1,4,1,38,1,Jan-38,38,9.5,24,0,0
Mohammad Hasnain,2022-2022,1,1,4,0,34,1,Jan-34,34,8.5,24,0,0
Mohammad Nawaz (3),2022-2023,3,3,9,0,50,1,Jan-23,50,5.55,54,0,0
Mohammad Wasim (1),2023-2023,1,1,3,0,13,1,Jan-13,13,4.33,18,0,0
Qasim Akram,2023-2023,1,1,2,0,18,1,Jan-18,18,9,12,0,0
Shaheen Shah Afridi,2021-2021,1,1,4,0,22,1,Jan-22,22,5.5,24,0,0
Sufiyan Muqeem,2023-2023,1,1,4,0,18,1,Jan-18,18,4.5,24,0,0
Aamer Jamal,2023-2023,1,1,2.5,0,29,0,-,-,10.23,-,0,0
Khushdil Shah,2022-2023,2,1,2,0,11,0,-,-,5.5,-,0,0
