Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike rate,4 Wkts,5 Wkts
Shadab Khan,2018-2021,10,8,31.4,0,221,13,Apr-26,17,6.97,14.6,1,0
Shaheen Shah Afridi,2018-2022,6,6,23,0,183,11,Mar-37,16.63,7.95,12.5,0,0
Faheem Ashraf,2018-2018,6,5,16,1,100,5,02-Oct,20,6.25,19.2,0,0
Hasan Ali,2018-2022,7,7,23.1,0,192,5,Feb-14,38.4,8.28,27.8,0,0
Imad Wasim,2018-2021,7,6,20,1,132,5,Mar-20,26.4,6.6,24,0,0
Mohammad Amir,2018-2019,5,5,15.4,0,124,5,Mar-33,24.8,7.91,18.8,0,0
Mohammad Hafeez,2018-2021,5,3,4,0,33,2,01-Apr,16.5,8.25,12,0,0
Mohammad Wasim (1),2022-2022,1,1,4,0,30,2,Feb-30,15,7.5,12,0,0
Usman Qadir,2022-2022,1,1,4,0,33,2,Feb-33,16.5,8.25,12,0,0
Usman Shinwari,2018-2018,3,3,11,0,79,2,Jan-22,39.5,7.18,33,0,0
Haris Rauf,2021-2022,2,2,6.1,0,67,1,Jan-35,67,10.86,37,0,0
Mohammad Irfan,2019-2019,2,2,6,0,58,1,Jan-27,58,9.66,36,0,0
Khushdil Shah,2019-2022,2,1,1,0,9,0,-,-,9,-,0,0
Mohammad Hasnain,2019-2019,1,1,4,0,32,0,-,-,8,-,0,0
Mohammad Nawaz (3),2018-2018,1,1,2,0,22,0,-,-,11,-,0,0
Muhammad Musa,2019-2019,1,1,3.5,0,39,0,-,-,10.17,-,0,0
Wahab Riaz,2019-2019,2,1,3,0,33,0,-,-,11,-,0,0
