Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike rate,100's,50's,0's,4's,6's
JN Malan,2019-2021,9,9,0,237,55,26.33,179,132.4,0,1,0,25,11
RR Hendricks,2019-2021,6,6,0,205,74,34.16,151,135.76,0,2,0,23,5
DA Miller,2019-2021,6,6,3,204,85*,68,124,164.51,0,2,0,13,13
AK Markram,2021-2022,5,5,0,199,63,39.8,112,177.67,0,3,0,26,9
HE van der Dussen,2019-2021,5,5,1,172,52,43,120,143.33,0,1,1,9,10
H Klaasen,2019-2022,11,11,4,166,50,23.71,122,136.06,0,1,1,17,5
PJ van Biljon,2021-2021,5,4,0,94,42,23.5,73,128.76,0,0,0,7,4
F du Plessis,2019-2019,1,1,0,78,78,78,45,173.33,0,1,0,6,4
CH Morris,2019-2019,3,2,1,56,55*,56,31,180.64,0,1,0,5,3
GF Linde,2021-2021,4,4,1,51,22,17,32,159.37,0,0,0,1,4
AL Phehlukwayo,2019-2021,10,7,2,50,14,10,38,131.57,0,0,1,6,1
T Bavuma,2022-2022,1,1,0,36,36,36,19,189.47,0,0,0,4,1
BC Fortuin,2021-2021,3,3,1,35,17*,17.5,27,129.62,0,0,0,5,0
D Pretorius,2021-2021,3,2,1,24,15*,24,16,150,0,0,0,1,2
T Stubbs,2022-2022,1,1,0,18,18,18,18,100,0,0,0,0,1
WJ Lubbe,2021-2021,2,2,0,16,12,8,10,160,0,0,0,4,0
SSB Magala,2021-2021,4,2,1,16,9*,16,13,123.07,0,0,0,0,2
GL Cloete,2019-2019,1,1,0,13,13,13,12,108.33,0,0,0,2,0
L Sipamla,2019-2021,5,2,1,8,8*,8,11,72.72,0,0,1,1,0
JT Smuts,2021-2021,2,2,0,8,7,4,14,57.14,0,0,0,1,0
RR Rossouw,2022-2022,1,1,0,7,7,7,6,116.66,0,0,0,0,1
PWA Mulder,2021-2021,1,1,0,6,6,6,9,66.66,0,0,0,0,0
CJ Dala,2019-2021,4,1,0,5,5,5,7,71.42,0,0,0,0,0
L Ngidi,2022-2022,1,1,1,4,4*,-,1,400,0,0,0,1,0
BE Hendricks,2019-2021,6,1,0,3,3,3,6,50,0,0,0,0,0
WD Parnell,2022-2022,1,1,0,3,3,3,4,75,0,0,0,0,0
GJ Snyman,2021-2021,1,1,0,2,2,2,6,33.33,0,0,0,0,0
LB Williams,2021-2021,4,1,1,2,2*,-,5,40,0,0,0,0,0
A Nortje,2022-2022,1,1,0,1,1,1,5,20,0,0,0,0,0
K Rabada,2022-2022,1,1,0,1,1,1,2,50,0,0,0,0,0
T Shamsi,2019-2022,11,3,2,1,1*,1,5,20,0,0,1,0,0
Q de Kock,2022-2022,1,1,0,0,0,0,5,0,0,0,1,0,0
