Player,Span,Mat,Inns,Not out,Runs,Highest Score,Ave,Balls faced,Strike Rate,100s,50s,0's,4's,6's
PBB Rajapaksa,2019-2022,5,5,1,207,77,51.75,142,145.77,0,2,0,12,13
MD Gunathilaka,2017-2022,8,8,0,159,57,19.87,131,121.37,0,2,1,20,2
MD Shanaka,2017-2022,8,8,1,134,54,19.14,111,120.72,0,1,1,9,8
BOP Fernando,2019-2019,1,1,1,78,78*,-,48,162.5,0,1,0,8,3
S Samarawickrama,2017-2019,4,4,0,71,32,17.75,73,97.26,0,0,0,5,0
P Nissanka,2022-2022,2,2,1,63,55*,63,59,106.77,0,1,0,6,1
PW Hasaranga,2019-2022,5,5,3,61,36,30.5,36,169.44,0,0,0,9,1
WIA Fernando,2019-2019,2,2,0,41,33,20.5,44,93.18,0,0,0,4,0
S Prasanna,2017-2017,3,3,1,40,23*,20,34,117.64,0,0,0,0,4
DM de Silva,2022-2022,2,2,0,37,28,18.5,33,112.12,0,0,0,5,0
GSNFG Jayasuriya,2019-2019,2,2,0,36,34,18,34,105.88,0,0,0,4,0
PC de Silva,2017-2017,1,1,0,21,21,21,20,105,0,0,0,1,0
EMDY Munaweera,2017-2017,3,3,0,20,19,6.66,26,76.92,0,0,1,3,0
SS Pathirana,2017-2017,3,3,0,19,14,6.33,17,111.76,0,0,0,2,0
NLTC Perera,2017-2017,3,3,0,19,10,6.33,23,82.6,0,0,0,2,0
I Udana,2017-2019,5,5,2,19,8,6.33,15,126.66,0,0,1,2,0
ML Udawatte,2017-2017,3,3,0,19,11,6.33,23,82.6,0,0,1,2,0
C Karunaratne,2022-2022,2,1,1,14,14*,-,14,100,0,0,0,0,1
SMA Priyanjan,2017-2017,2,2,1,14,12,14,22,63.63,0,0,0,0,0
AK Perera,2019-2019,1,1,0,13,13,13,11,118.18,0,0,0,1,0
JRMVB Sanjaya,2017-2017,3,3,2,9,4*,9,12,75,0,0,0,1,0
LD Madushanka,2019-2019,1,1,0,1,1,1,3,33.33,0,0,0,0,0
M Bhanuka,2019-2019,2,1,0,0,0,0,1,0,0,0,1,0,0
BKG Mendis,2022-2022,2,2,0,0,0,0,2,0,0,0,2,0,0
